Season,days per period,mins per day ,mins ,POD,Filter,DPM,rate 1,rate
Spring,128,1440,184320,C,HML,2176,0.011805556,1.180555556
Spring,128,1440,184320,C,HM,1267,0.006873915,0.687391493
Spring,128,1440,184320,C,H,162,0.000878906,0.087890625
Spring,128,1440,184320,F,HML,5348,0.029014757,2.901475694
Spring,128,1440,184320,F,HM,5174,0.028070747,2.807074653
Spring,128,1440,184320,F,H,3998,0.021690538,2.169053819
Summer,138,1440,198720,C,HML,2925,0.014719203,1.47192029
Summer,138,1440,198720,C,HM,1767,0.008891908,0.889190821
Summer,138,1440,198720,C,H,327,0.001645531,0.16455314
Summer,138,1440,198720,F,HML,3926,0.019756441,1.975644122
Summer,138,1440,198720,F,HM,3590,0.01806562,1.806561997
Summer,138,1440,198720,F,H,2842,0.01430153,1.430152979
Autumn,92,1440,132480,C,HML,2915,0.022003321,2.200332126
Autumn,92,1440,132480,C,HM,1649,0.012447162,1.244716184
Autumn,92,1440,132480,C,H,247,0.001864432,0.186443237
Autumn,92,1440,132480,F,HML,3849,0.029053442,2.905344203
Autumn,92,1440,132480,F,HM,3582,0.027038043,2.703804348
Autumn,92,1440,132480,F,H,2770,0.020908816,2.090881643
Winter,91,1440,131040,C,HML,3813,0.029097985,2.909798535
Winter,91,1440,131040,C,HM,2305,0.017590049,1.759004884
Winter,91,1440,131040,C,H,524,0.003998779,0.3998779
Winter,91,1440,131040,F,HML,5733,0.04375,4.375
Winter,91,1440,131040,F,HM,5715,0.043612637,4.361263736
Winter,91,1440,131040,F,H,4459,0.034027778,3.402777778
